,Maroc,Vietnam,Afrique,India
Maroc,0.0,0.3333333333333333,0.6,0.5
Vietnam,0.32608695652173914,0.0,0.32608695652173914,0.32608695652173914
Afrique,0.5869565217391305,0.32608695652173914,0.0,0.6304347826086957
India,0.4891304347826087,0.32608695652173914,0.6304347826086957,0.0
