,Maroc,Vietnam,Afrique,India
Maroc,0.0,443.3313676352945,332.9814305706665,309.05437306888075
Vietnam,443.3313676352945,0.0,327.8347387402428,404.7433432133871
Afrique,332.9814305706665,327.8347387402428,0.0,239.25439010497877
India,309.05437306888075,404.7433432133871,239.25439010497877,0.0
