date,Maroc,Vietnam,Afrique,India
2020-01-01,,8.40010475541355,9.210475996542304,7.395156967345254
2020-01-02,,8.454588204837012,9.40127149147815,7.578437491888923
2020-01-03,,7.006830688032501,9.057825403745738,7.664380936310551
2020-01-04,,6.857607390561288,8.876803822299363,7.627623898227767
2020-01-05,,6.849577915321746,8.57925304356577,7.175686716681658
2020-01-06,,7.758702239334142,9.262666388466108,9.250617704497197
2020-01-07,,7.9089808262234,9.267675957184917,9.353407785787894
2020-01-08,,8.772225912038742,9.275219601854255,9.379723618353283
2020-01-09,,9.51893297917133,9.336873797725886,10.150656305737122
2020-01-10,,9.709144729102771,9.34365364571193,10.12174353846188
2020-01-11,,9.470648782730448,9.349136984734807,10.045610811489828
2020-01-12,,9.358888050317509,7.874598794578827,9.69658317912382
2020-01-13,,9.445800362919302,7.883739038071069,9.82275188519191
2020-01-14,,9.49482984901842,8.128213476726266,9.83726799373856
2020-01-15,,9.394750669080574,8.133145286301618,9.807151291415238
2020-01-16,,9.021868314528108,7.704895185264434,9.480906411085774
2020-01-17,,8.868961601581061,8.380265119242766,9.40154987910394
2020-01-18,,8.850368983998552,8.271335366944259,9.365524559981084
2020-01-19,,8.679507733999761,8.219935232325373,9.363156181974336
2020-01-20,,8.690365298499149,8.257086491570858,9.856393135472182
2020-01-21,,9.065562664882316,9.51796261683859,9.936683157551329
2020-01-22,,9.060745236905118,9.36190400075986,10.037687546724332
2020-01-23,,9.070663614717503,10.876561853940474,10.150737631466848
2020-01-24,,9.05299198675391,11.078489573220638,10.282200481693616
2020-01-25,,9.028532432742445,11.078489573220638,10.0455817288658
2020-01-26,,8.973254696899373,11.057105623578336,9.637485411616996
2020-01-27,,8.973254696899373,13.222096753403394,10.116668505579549
2020-01-28,,8.973254696899373,13.2349184037122,10.214113751619944
2020-01-29,,8.926640188458288,13.569527778423714,10.387231509914637
2020-01-30,,14.25724372632112,13.248008971384964,10.422699873915397
2020-01-31,7.50335823248971,16.91570197431899,13.522993313097787,10.544088743627166
2020-02-01,7.222787647603298,16.652034030457475,12.982404481188665,12.439560034502769
2020-02-02,7.175484586172196,16.63861548227227,12.958256398480398,12.420086981986378
2020-02-03,10.093222920324724,16.714726757364545,12.97362862322078,12.515709344445376
2020-02-04,10.134452370467892,16.77081863528457,14.294951358429154,14.374690445582395
2020-02-05,10.133603443191609,16.44468913647065,14.37461362647946,13.509667534930577
2020-02-06,10.697089950916164,17.52419187816505,14.36642224484984,13.483542729219266
2020-02-07,10.571508554480236,17.107378026842973,14.41920531812841,13.502374565731513
2020-02-08,9.461791706607668,16.546511954540772,14.378611734196774,12.675633109522202
2020-02-09,9.343255786152014,16.3093466648244,14.260491713098192,12.628588424433891
2020-02-10,9.374005427697952,16.64490535890498,14.43398482153133,12.713869800718022
2020-02-11,10.20186177227782,16.71449224206881,14.479411890094145,12.872005054294954
2020-02-12,10.089071417395171,16.88950191367729,15.155981058246912,12.956891333652155
2020-02-13,11.244058033944505,16.854332798360367,15.01221287755764,12.935278920390957
2020-02-14,11.723455029249838,16.868254385945086,15.001619905175115,12.999114656839694
2020-02-15,11.655884339384912,16.692117744704237,14.984785376242549,12.99160392625391
2020-02-16,11.489545664515086,16.647494081311788,14.325861354535826,12.9925039718801
2020-02-17,11.488639697928017,16.650771198317663,14.442760106420767,13.069281344797478
2020-02-18,11.656378045010271,16.691193783338484,14.632260113087534,13.107724087463833
2020-02-19,11.669695101067855,16.683260709384033,14.682381851285598,13.24344793692779
2020-02-20,11.644621180634362,16.605126471569513,13.98364179067881,13.224190999913604
2020-02-21,12.947982139060684,16.563632532853735,14.215694177123908,13.14095720892444
2020-02-22,12.881267339808344,16.563632532853735,13.079759805288168,13.012467238986709
2020-02-23,12.860581582537272,16.563632532853735,12.92626347943554,12.8951637513063
2020-02-24,12.993455986678743,19.47172758815409,18.540369997997963,14.204613056261028
2020-02-25,13.062770135576324,20.08819199952268,18.54329558049026,14.206715924395208
2020-02-26,13.09991185416863,20.17926425092507,17.17544879720944,14.18226308920452
2020-02-27,13.12086238309165,20.394572869408066,19.21966120256973,14.154580870337815
2020-02-28,13.439713294952655,20.97675003922476,22.919529750201992,17.511238724776607
2020-02-29,13.368801297029934,18.28531908162289,22.836771622503555,17.459040767742113
2020-03-01,13.19248266461458,15.950819865715832,22.7758054109347,17.435190473122958
2020-03-02,13.319748774488843,16.010698253932834,23.50389232414031,16.043653785961094
2020-03-03,14.505894359806726,16.04413083186626,24.512617853843093,16.760209467275352
2020-03-04,13.085621940916122,15.920710255582554,24.50795168048668,16.723004111969576
2020-03-05,13.05316001821042,15.892097948491942,23.689135665012497,15.095939504136338
2020-03-06,15.577706495996573,15.924579912778604,23.755552532223312,16.12486082206634
2020-03-07,15.35832877183054,14.640811747924772,23.71482779151697,16.010249038380895
2020-03-08,15.37102237769844,14.63460531720977,23.732098740948864,16.039044584183074
2020-03-09,23.52432495231357,23.746669056617,30.23301229879227,20.99852373233365
2020-03-10,29.680308898524903,23.973819530999595,30.659652996881047,20.99852373233365
2020-03-11,29.660208463447297,26.21447423201748,30.664492434838085,21.05843069792639
2020-03-12,36.06828115665782,29.65296733438204,41.95034155323047,31.498510766210558
2020-03-13,36.0650918272594,29.374616726135677,41.38710536881882,33.85036897309109
2020-03-14,35.48844054901193,29.353078079757395,41.36528091174987,33.88198199753736
2020-03-15,35.19701069220062,29.310840648267693,41.367344800204336,33.934995970643975
2020-03-16,44.34303385280725,29.795718095112772,46.55374818155517,39.8515039479231
