date,close_indice,close_future
2017-08-10,743.41998,745.9
2017-08-11,744.98999,745.7
2017-08-12,744.98999,745.7
2017-08-13,744.98999,745.7
2017-08-14,751.39001,748.9
2017-08-15,746.07001,748.0
2017-08-16,749.37,748.1
2017-08-17,743.20001,744.6
2017-08-18,744.29999,742.9
2017-08-19,744.29999,742.9
2017-08-20,744.29999,742.9
2017-08-21,743.65997,741.8
2017-08-22,738.20001,738.7
2017-08-23,743.09998,738.8
2017-08-24,747.71997,741.6
2017-08-25,751.14001,743.1
2017-08-26,751.14001,743.1
2017-08-27,751.14001,743.1
2017-08-28,758.02002,751.0
2017-08-29,754.59003,747.0
2017-08-30,764.57001,752.6
2017-08-31,770.08002,758.1
2017-09-01,774.06,762.0
2017-09-02,774.06,762.0
2017-09-03,774.06,762.0
2017-09-04,774.06,762.0
2017-09-05,777.02002,763.0
2017-09-06,776.96997,763.5
2017-09-07,779.20001,770.0
2017-09-08,784.73999,775.1
2017-09-09,784.73999,775.1
2017-09-10,784.73999,775.1
2017-09-11,779.58002,769.0
2017-09-12,782.53998,772.6
2017-09-13,786.42999,778.5
2017-09-14,789.40997,784.5
2017-09-15,789.48999,784.5
2017-09-16,789.48999,784.5
2017-09-17,789.48999,784.5
2017-09-18,793.70001,791.9
2017-09-19,792.67999,792.5
2017-09-20,790.47998,789.9
2017-09-21,786.40997,787.2
2017-09-22,789.70001,785.6
2017-09-23,789.70001,785.6
2017-09-24,789.70001,785.6
2017-09-25,789.89001,786.0
2017-09-26,791.04999,787.0
2017-09-27,788.31,787.0
2017-09-28,790.75,788.0
2017-09-29,792.71997,790.3
2017-09-30,792.71997,790.3
2017-10-01,792.71997,790.3
2017-10-02,790.70001,788.3
2017-10-03,787.02002,784.5
2017-10-04,795.76001,792.0
2017-10-05,797.41998,793.0
2017-10-06,800.41998,795.8
2017-10-07,800.41998,795.8
2017-10-08,800.41998,795.8
2017-10-09,801.48999,799.0
2017-10-10,805.29999,802.0
2017-10-11,806.83002,804.2
2017-10-12,809.59998,807.0
2017-10-13,815.46997,814.0
2017-10-14,815.46997,814.0
2017-10-15,815.46997,814.0
2017-10-16,811.84998,813.5
2017-10-17,818.47998,817.4
2017-10-18,816.84003,815.0
2017-10-19,817.39001,817.2
2017-10-20,813.98999,813.9
2017-10-21,813.98999,813.9
2017-10-22,813.98999,813.9
2017-10-23,809.35999,808.2
2017-10-24,815.23999,813.0
2017-10-25,821.45001,820.6
2017-10-26,822.53003,820.8
2017-10-27,834.90997,831.0
2017-10-28,834.90997,831.0
2017-10-29,834.90997,831.0
2017-10-30,837.52002,836.2
2017-10-31,831.62,831.9
2017-11-01,835.38,835.8
2017-11-02,827.65997,830.0
2017-11-03,840.03998,838.0
2017-11-04,840.03998,838.0
2017-11-05,840.03998,838.0
2017-11-06,844.72998,845.0
2017-11-07,846.03003,847.0
2017-11-08,853.57001,857.0
2017-11-09,853.04999,857.3
2017-11-10,858.54999,857.3
2017-11-11,858.54999,857.3
2017-11-12,858.54999,857.3
2017-11-13,868.10999,863.5
2017-11-14,871.08002,869.7
2017-11-15,877.58002,877.0
2017-11-16,890.01001,888.1
2017-11-17,887.40997,903.0
2017-11-18,887.40997,903.0
2017-11-19,887.40997,903.0
2017-11-20,899.31,930.0
2017-11-21,910.53998,958.0
