date,close_indice,close_future,rendement,volatilite_historique,volatilite_garch,volatilite_egarch,volatilite_gjr_garch,future_cost_of_carry,future_convenience_yield,future_monte_carlo
2015-01-01,8284.0,8343.8,,,,,,8366.109463233386,8345.506112004212,
2015-01-02,8395.4502,8458.4,1.3363972717304784,,,,,8478.664336833006,8457.78379492117,
2015-01-03,8395.4502,8458.4,0.0,,15.59559858522747,15.833041308504432,15.59559858522747,8478.664336833006,8457.78379492117,
2015-01-04,8395.4502,8458.4,0.0,,15.105986344536078,14.90321719177354,15.105986344536078,8478.664336833006,8457.78379492117,
2015-01-05,8378.4004,8422.85,-0.20329030320324756,,14.818183733464826,14.694362086369376,14.818183733464826,8461.445542394784,8440.607405482682,
2015-01-06,8127.3501,8157.9,-3.042208374860028,,14.411345278562703,14.216805355645727,14.411345278562703,8207.906878636022,8187.693135435543,
2015-01-07,8102.1001,8141.85,-0.3111629791752639,,18.04188219577269,17.74497563255595,18.04188219577269,8182.406605344539,8162.25566207387,
2015-01-08,8234.5996,8257.25,1.622144103278085,,14.51547427003677,14.327311715767468,14.51547427003677,8316.21941568057,8295.73892946734,
2015-01-09,8284.5,8315.5,0.6041558316176718,,17.697684975245018,18.21940676332237,17.697684975245018,8366.614419140147,8346.009824348008,
2015-01-10,8284.5,8315.5,0.0,,14.648132689127975,14.766683523918307,14.648132689127975,8366.614419140147,8346.009824348008,
2015-01-11,8284.5,8315.5,0.0,,16.39497215548935,16.34116839607627,16.39497215548935,8366.614419140147,8346.009824348008,
2015-01-12,8323.0,8360.55,0.4636467736743234,,14.323253992358934,14.198024853739017,14.323253992358934,8405.496023960824,8384.795674820263,
2015-01-13,8299.4004,8316.5,-0.2839495534765353,,15.41262384105384,15.497645475549309,15.41262384105384,8381.662509126383,8361.02085516299,
2015-01-14,8277.5498,8307.35,-0.2636264498754194,,13.936689746593075,13.924275958925133,13.936689746593075,8359.595330053793,8339.008021284313,
2015-01-15,8494.1504,8515.05,2.583073162031574,,14.519166956023064,14.575539402021507,14.519166956023064,8578.342834810195,8557.216813071345,
2015-01-16,8513.7998,8535.05,0.2310614566856752,,16.493073485064144,16.376930011714748,16.493073485064144,8598.186995998854,8577.012103727697,
2015-01-17,8513.7998,8535.05,0.0,,14.270526035505942,14.302106363116131,14.270526035505942,8598.186995998854,8577.012103727697,
2015-01-18,8513.7998,8535.05,0.0,,15.386163107807741,14.95181500984472,15.386163107807741,8598.186995998854,8577.012103727697,
2015-01-19,8550.7002,8574.1,0.4324821414709093,,13.85226737389828,13.596365400751415,13.85226737389828,8635.453145882617,8614.18647766968,
2015-01-20,8695.5996,8717.15,1.680393026828985,,14.540609943665004,14.32662403758809,14.540609943665004,8781.788761715166,8760.16171044681,
2015-01-21,8729.5,8738.5,0.38909898420821004,,14.75587752817778,14.912298456975522,14.75587752817778,8816.025176158359,8794.313810326023,
2015-01-22,8761.4004,8779.15,0.36476607425768187,,14.020290938994126,14.038269481017117,14.020290938994126,8848.241766974503,8826.451060830052,
2015-01-23,8835.5996,8844.4,0.8433214723862348,,14.053173538141225,14.293892341659555,14.053173538141225,8923.176415608536,8901.201166709556,
2015-01-24,8835.5996,8844.4,0.0,,13.783789887865712,14.24771138016207,13.783789887865712,8923.176415608536,8901.201166709556,
2015-01-25,8835.5996,8844.4,0.0,,13.405813699694006,13.453283012492673,13.405813699694006,8923.176415608536,8901.201166709556,
2015-01-26,8835.5996,8882.0,0.0,,13.134797658240663,13.258956060480296,13.134797658240663,8923.176415608536,8901.201166709556,
2015-01-27,8910.5,8922.65,0.8441386721885731,,12.798131649095145,12.646927557178316,12.798131649095145,8998.819214406214,8976.65767878,
2015-01-28,8914.2998,8904.65,0.0426349816008534,,12.91607810931955,13.411862755223435,12.91607810931955,9002.656677315244,8980.48569110791,
2015-01-29,8952.3496,8952.35,0.42593165257086335,,12.295525700491407,12.133970075486832,12.295525700491407,9041.08361983747,9018.81799898581,
2015-01-30,8808.9004,8872.65,-1.6153403527227124,,12.381721246105522,12.91524260165829,12.381721246105522,8896.212578116896,8874.303733490628,
2015-01-31,8808.9004,8872.65,0.0,15.464024567925616,13.243402708123924,13.491138855748972,13.243402708123924,8896.212578116896,8874.303733490628,0.16745512913861016
2015-02-01,8808.9004,8872.65,0.0,15.09489139064946,12.035290895398974,12.300228300932506,12.035290895398974,8896.212578116896,8874.303733490628,0.7247294663272603
2015-02-02,8797.4004,8859.65,-0.13063506941158057,15.111680987437458,12.493385437974338,12.475995449315501,12.493385437974338,8884.598592261369,8862.71834958333,2.7073525502468927
2015-02-03,8756.5498,8809.9,-0.4654299833189743,15.213267451405041,11.649358107941062,11.80022673638667,11.649358107941062,8843.343088731823,8821.564446640423,20.664597809773394
2015-02-04,8723.7002,8776.35,-0.3758486139505297,15.25530257772358,11.973589777389435,12.207047651822418,11.973589777389435,8810.16788962228,8788.470948622931,0.12925531103865878
2015-02-05,8711.7002,8751.3,-0.13765100450208148,11.967732442518928,11.340594405096855,11.656683454889373,11.340594405096855,8798.048947859992,8776.381852371838,255.94495780281667
2015-02-06,8661.0498,8711.9,-0.5831033487893466,12.100092113554089,11.408372712554709,11.583554842380781,11.408372712554709,8746.896510540273,8725.355388975478,56.10096904714182
