date,close_indice,close_future
2015-01-01,8284.0,"8,343.80"
2015-01-02,8395.4502,"8,458.40"
2015-01-03,8395.4502,"8,458.40"
2015-01-04,8395.4502,"8,458.40"
2015-01-05,8378.4004,"8,422.85"
2015-01-06,8127.3501,"8,157.90"
2015-01-07,8102.1001,"8,141.85"
2015-01-08,8234.5996,"8,257.25"
2015-01-09,8284.5,"8,315.50"
2015-01-10,8284.5,"8,315.50"
2015-01-11,8284.5,"8,315.50"
2015-01-12,8323.0,"8,360.55"
2015-01-13,8299.4004,"8,316.50"
2015-01-14,8277.5498,"8,307.35"
2015-01-15,8494.1504,"8,515.05"
2015-01-16,8513.7998,"8,535.05"
2015-01-17,8513.7998,"8,535.05"
2015-01-18,8513.7998,"8,535.05"
2015-01-19,8550.7002,"8,574.10"
2015-01-20,8695.5996,"8,717.15"
2015-01-21,8729.5,"8,738.50"
2015-01-22,8761.4004,"8,779.15"
2015-01-23,8835.5996,"8,844.40"
2015-01-24,8835.5996,"8,844.40"
2015-01-25,8835.5996,"8,844.40"
2015-01-26,8835.5996,"8,882.00"
2015-01-27,8910.5,"8,922.65"
2015-01-28,8914.2998,"8,904.65"
2015-01-29,8952.3496,"8,952.35"
2015-01-30,8808.9004,"8,872.65"
2015-01-31,8808.9004,"8,872.65"
2015-02-01,8808.9004,"8,872.65"
2015-02-02,8797.4004,"8,859.65"
2015-02-03,8756.5498,"8,809.90"
2015-02-04,8723.7002,"8,776.35"
2015-02-05,8711.7002,"8,751.30"
2015-02-06,8661.0498,"8,711.90"
2015-02-07,8661.0498,"8,711.90"
2015-02-08,8661.0498,"8,711.90"
2015-02-09,8526.3496,"8,562.90"
2015-02-10,8565.5498,"8,611.40"
2015-02-11,8627.4004,"8,670.90"
2015-02-12,8711.5498,"8,752.20"
2015-02-13,8805.5,"8,841.55"
2015-02-14,8805.5,"8,841.55"
2015-02-15,8805.5,"8,841.55"
2015-02-16,8809.3496,"8,845.05"
2015-02-17,8809.3496,"8,837.25"
2015-02-18,8869.0996,"8,891.30"
2015-02-19,8895.2998,"8,916.15"
2015-02-20,8833.5996,"8,849.45"
2015-02-21,8833.5996,"8,849.45"
2015-02-22,8833.5996,"8,849.45"
2015-02-23,8754.9502,"8,753.45"
2015-02-24,8762.0996,"8,773.30"
2015-02-25,8767.25,"8,767.15"
2015-02-26,8683.8496,"8,683.85"
2015-02-27,8844.5996,"8,889.95"
2015-02-28,8901.8496,"8,964.65"
2015-03-01,8901.8496,"8,964.65"
2015-03-02,8956.75,"9,000.70"
2015-03-03,8996.25,"9,054.85"
2015-03-04,8922.6504,"8,956.35"
2015-03-05,8937.75,"8,988.75"
2015-03-06,8937.75,"8,984.25"
2015-03-07,8937.75,"8,984.25"
2015-03-08,8937.75,"8,984.25"
2015-03-09,8756.75,"8,784.85"
2015-03-10,8712.0498,"8,760.30"
2015-03-11,8699.9502,"8,752.15"
2015-03-12,8776.0,"8,813.05"
2015-03-13,8647.75,"8,674.40"
2015-03-14,8647.75,"8,674.40"
2015-03-15,8647.75,"8,674.40"
2015-03-16,8633.1504,"8,665.60"
2015-03-17,8723.2998,"8,740.20"
2015-03-18,8685.9004,"8,704.70"
2015-03-19,8634.6504,"8,635.85"
2015-03-20,8570.9004,"8,602.05"
2015-03-21,8570.9004,"8,602.05"
2015-03-22,8570.9004,"8,602.05"
2015-03-23,8550.9004,"8,565.00"
2015-03-24,8542.9502,"8,573.85"
2015-03-25,8530.7998,"8,535.00"
2015-03-26,8342.1504,"8,342.15"
2015-03-27,8341.4004,"8,434.90"
2015-03-28,8341.4004,"8,434.90"
2015-03-29,8341.4004,"8,434.90"
2015-03-30,8492.2998,"8,557.50"
2015-03-31,8491.0,"8,534.75"
2015-04-01,8586.25,"8,633.10"
2015-04-02,8586.25,"8,634.25"
2015-04-03,8586.25,"8,679.75"
2015-04-04,8586.25,"8,679.75"
2015-04-05,8586.25,"8,679.75"
2015-04-06,8659.9004,"8,689.80"
2015-04-07,8660.2998,"8,711.30"
2015-04-08,8714.4004,"8,762.65"
2015-04-09,8778.2998,"8,811.10"
2015-04-10,8780.3496,"8,811.45"
2015-04-11,8780.3496,"8,811.45"
2015-04-12,8780.3496,"8,811.45"
2015-04-13,8834.0,"8,855.45"
2015-04-14,8834.0,"8,827.75"
2015-04-15,8750.2002,"8,786.15"
2015-04-16,8706.7002,"8,726.15"
2015-04-17,8606.0,"8,638.85"
2015-04-18,8606.0,"8,638.85"
2015-04-19,8606.0,"8,638.85"
2015-04-20,8448.0996,"8,469.90"
2015-04-21,8377.75,"8,400.45"
2015-04-22,8429.7002,"8,461.20"
2015-04-23,8398.2998,"8,405.35"
2015-04-24,8305.25,"8,318.80"
2015-04-25,8305.25,"8,318.80"
2015-04-26,8305.25,"8,318.80"
2015-04-27,8213.7998,"8,223.00"
2015-04-28,8285.5996,"8,292.40"
2015-04-29,8239.75,"8,238.25"
2015-04-30,8181.5,"8,181.50"
2015-05-01,8181.5,"8,209.50"
2015-05-02,8181.5,"8,209.50"
2015-05-03,8181.5,"8,209.50"
2015-05-04,8331.9502,"8,372.25"
2015-05-05,8324.7998,"8,361.70"
2015-05-06,8097.0,"8,121.75"
2015-05-07,8057.2998,"8,082.15"
2015-05-08,8191.5,"8,210.55"
2015-05-09,8191.5,"8,210.55"
2015-05-10,8191.5,"8,210.55"
2015-05-11,8325.25,"8,342.15"
2015-05-12,8126.9502,"8,131.25"
2015-05-13,8235.4502,"8,250.75"
2015-05-14,8224.2002,"8,237.80"
2015-05-15,8262.3496,"8,261.20"
2015-05-16,8262.3496,"8,261.20"
2015-05-17,8262.3496,"8,261.20"
2015-05-18,8373.6504,"8,372.80"
2015-05-19,8365.6504,"8,366.30"
2015-05-20,8423.25,"8,424.30"
2015-05-21,8421.0,"8,419.10"
2015-05-22,8458.9502,"8,452.05"
2015-05-23,8458.9502,"8,452.05"
2015-05-24,8458.9502,"8,452.05"
2015-05-25,8370.25,"8,368.45"
2015-05-26,8339.3496,"8,337.90"
2015-05-27,8334.5996,"8,331.75"
2015-05-28,8319.0,"8,319.00"
2015-05-29,8433.6504,"8,458.65"
2015-05-30,8433.6504,"8,458.65"
2015-05-31,8433.6504,"8,458.65"
2015-06-01,8433.4004,"8,431.65"
2015-06-02,8236.4502,"8,225.35"
2015-06-03,8135.1001,"8,136.35"
2015-06-04,8130.6499,"8,141.60"
2015-06-05,8114.7002,"8,114.25"
2015-06-06,8114.7002,"8,114.25"
2015-06-07,8114.7002,"8,114.25"
2015-06-08,8044.1499,"8,044.20"
2015-06-09,8022.3999,"8,030.60"
2015-06-10,8124.4502,"8,120.05"
2015-06-11,7965.3501,"7,959.20"
2015-06-12,7982.8999,"7,978.70"
2015-06-13,7982.8999,"7,978.70"
2015-06-14,7982.8999,"7,978.70"
2015-06-15,8013.8999,"8,009.20"
2015-06-16,8047.2998,"8,047.00"
2015-06-17,8091.5498,"8,079.05"
2015-06-18,8174.6001,"8,157.55"
2015-06-19,8224.9502,"8,237.60"
2015-06-20,8224.9502,"8,237.60"
2015-06-21,8224.9502,"8,237.60"
2015-06-22,8353.0996,"8,353.15"
2015-06-23,8381.5498,"8,377.40"
2015-06-24,8360.8496,"8,350.30"
2015-06-25,8398.0,"8,398.00"
2015-06-26,8381.0996,"8,381.65"
2015-06-27,8381.0996,"8,381.65"
2015-06-28,8381.0996,"8,381.65"
2015-06-29,8318.4004,"8,319.15"
2015-06-30,8368.5,"8,377.80"
2015-07-01,8453.0498,"8,455.20"
2015-07-02,8444.9004,"8,438.30"
2015-07-03,8484.9004,"8,488.00"
2015-07-04,8484.9004,"8,488.00"
2015-07-05,8484.9004,"8,488.00"
2015-07-06,8522.1504,"8,537.75"
2015-07-07,8510.7998,"8,516.60"
2015-07-08,8363.0498,"8,378.00"
2015-07-09,8328.5498,"8,346.10"
2015-07-10,8360.5498,"8,385.55"
2015-07-11,8360.5498,"8,385.55"
2015-07-12,8360.5498,"8,385.55"
2015-07-13,8459.6504,"8,481.95"
2015-07-14,8454.0996,"8,465.90"
2015-07-15,8523.7998,"8,542.05"
2015-07-16,8608.0498,"8,626.65"
2015-07-17,8609.8496,"8,625.05"
2015-07-18,8609.8496,"8,625.05"
2015-07-19,8609.8496,"8,625.05"
2015-07-20,8603.4502,"8,628.25"
