,MAE,MSE,RMSE,MAPE
Random Forest,0.8171296335808351,1.8741867443560685,1.3690094025813222,6.323692921612579
Xgboost,1.4083765062727622,3.0692356737868858,1.7519234212107804,12.676402223507605
Lightgbm,0.7570925866954937,1.8045923732903943,1.3433511727357053,5.87115122810412
Neural Network,1.1444559764699866,3.3867566242598657,1.8403142732315765,8.861554813525364
Ensemble,0.3888747795543013,0.3708148550293231,0.6089456913628037,3.1493246563418826
